'Elapsed time','PCG'
'0:00.308',723.000
'0:00.308',666.000
'0:00.309',688.000
'0:00.309',736.000
'0:00.310',650.000
'0:00.310',637.000
'0:00.311',621.000
'0:00.311',567.000
'0:00.312',576.000
'0:00.312',462.000
'0:00.313',421.000
'0:00.313',329.000
'0:00.314',249.000
'0:00.314',229.000
'0:00.315',85.000
'0:00.315',48.000
'0:00.316',-40.000
'0:00.316',-97.000
'0:00.317',-220.000
'0:00.317',-206.000
'0:00.318',-297.000
'0:00.318',-365.000
'0:00.319',-403.000
'0:00.319',-465.000
'0:00.320',-474.000
'0:00.320',-489.000
'0:00.321',-502.000
'0:00.321',-529.000
'0:00.322',-564.000
'0:00.322',-580.000
'0:00.323',-566.000
'0:00.323',-578.000
'0:00.324',-604.000
'0:00.324',-621.000
'0:00.325',-544.000
'0:00.325',-602.000
'0:00.326',-500.000
'0:00.326',-489.000
'0:00.327',-447.000
'0:00.327',-393.000
'0:00.328',-374.000
'0:00.328',-275.000
'0:00.329',-232.000
'0:00.329',-161.000
'0:00.330',-138.000
'0:00.330',-177.000
'0:00.331',-95.000
'0:00.331',-153.000
'0:00.332',-144.000
'0:00.332',-135.000
'0:00.333',-75.000
'0:00.333',-65.000
'0:00.334',-97.000
'0:00.334',8.000
'0:00.335',-40.000
'0:00.335',45.000
'0:00.336',102.000
'0:00.336',77.000
'0:00.337',61.000
'0:00.337',92.000
'0:00.338',103.000
'0:00.338',181.000
'0:00.339',151.000
'0:00.339',133.000
'0:00.340',110.000
'0:00.340',118.000
'0:00.341',37.000
'0:00.341',48.000
'0:00.342',-6.000
'0:00.342',-92.000
'0:00.343',-142.000
'0:00.343',-302.000
'0:00.344',-335.000
'0:00.344',-469.000
'0:00.345',-479.000
'0:00.345',-484.000
'0:00.346',-560.000
'0:00.346',-577.000
'0:00.347',-639.000
'0:00.347',-688.000
'0:00.348',-745.000
'0:00.348',-730.000
'0:00.349',-737.000
'0:00.349',-745.000
'0:00.350',-691.000
'0:00.350',-747.000
'0:00.351',-690.000
'0:00.351',-672.000
'0:00.352',-621.000
'0:00.352',-540.000
'0:00.353',-464.000
'0:00.353',-379.000
'0:00.354',-286.000
'0:00.354',-247.000
'0:00.355',-242.000
'0:00.355',-227.000
'0:00.356',-129.000
'0:00.356',-109.000
'0:00.357',-34.000
'0:00.357',25.000
'0:00.358',-3.000
'0:00.358',55.000
'0:00.359',22.000
'0:00.359',157.000
'0:00.360',131.000
'0:00.360',174.000
'0:00.361',219.000
'0:00.361',189.000
'0:00.362',163.000
'0:00.362',171.000
'0:00.363',252.000
'0:00.363',241.000
'0:00.364',262.000
'0:00.364',320.000
'0:00.365',310.000
'0:00.365',441.000
'0:00.366',539.000
'0:00.366',741.000
'0:00.367',861.000
'0:00.367',920.000
'0:00.368',962.000
'0:00.368',905.000
'0:00.369',838.000
'0:00.369',734.000
'0:00.370',538.000
'0:00.370',323.000
'0:00.371',107.000
'0:00.371',-82.000
'0:00.372',-259.000
'0:00.372',-451.000
'0:00.373',-557.000
'0:00.373',-740.000
'0:00.374',-737.000
'0:00.374',-790.000
'0:00.375',-744.000
'0:00.375',-655.000
'0:00.376',-537.000
'0:00.376',-391.000
'0:00.377',-212.000
'0:00.377',39.000
'0:00.378',235.000
'0:00.378',485.000
'0:00.379',638.000
'0:00.379',755.000
'0:00.380',824.000
'0:00.380',825.000
'0:00.381',804.000
'0:00.381',748.000
'0:00.382',694.000
'0:00.382',613.000
'0:00.383',528.000
'0:00.383',473.000
'0:00.384',349.000
'0:00.384',361.000
'0:00.385',293.000
'0:00.385',252.000
'0:00.386',240.000
'0:00.386',266.000
'0:00.387',321.000
'0:00.387',302.000
'0:00.388',429.000
'0:00.388',549.000
'0:00.389',617.000
'0:00.389',877.000
'0:00.390',993.000
'0:00.390',1138.000
'0:00.391',1253.000
'0:00.391',1370.000
'0:00.392',1459.000
'0:00.392',1474.000
'0:00.393',1515.000
'0:00.393',1419.000
'0:00.394',1364.000
'0:00.394',1249.000
'0:00.395',1110.000
'0:00.395',1027.000
'0:00.396',915.000
'0:00.396',836.000
'0:00.397',736.000
'0:00.397',662.000
'0:00.398',519.000
'0:00.398',361.000
'0:00.399',214.000
'0:00.399',52.000
'0:00.400',48.000
'0:00.400',-94.000
'0:00.401',-124.000
'0:00.401',-147.000
'0:00.402',-220.000
'0:00.402',-263.000
'0:00.403',-383.000
'0:00.403',-475.000
'0:00.404',-613.000
'0:00.404',-823.000
'0:00.405',-953.000
'0:00.405',-1197.000
'0:00.406',-1345.000
'0:00.406',-1580.000
'0:00.407',-1693.000
'0:00.407',-1898.000
'0:00.408',-2065.000
'0:00.408',-2121.000
'0:00.409',-2282.000
'0:00.409',-2316.000
'0:00.410',-2308.000
'0:00.410',-2335.000
'0:00.411',-2220.000
'0:00.411',-2146.000
'0:00.412',-2133.000
'0:00.412',-1972.000
'0:00.413',-1915.000
'0:00.413',-1819.000
'0:00.414',-1738.000
'0:00.414',-1754.000
'0:00.415',-1359.000
'0:00.415',-1054.000
'0:00.416',-878.000
'0:00.416',-655.000
'0:00.417',-413.000
'0:00.417',-212.000
'0:00.418',30.000
'0:00.418',209.000
'0:00.419',459.000
'0:00.419',575.000
'0:00.420',686.000
'0:00.420',860.000
'0:00.421',980.000
'0:00.421',1091.000
'0:00.422',1152.000
'0:00.422',1212.000
'0:00.423',1215.000
'0:00.423',1204.000
'0:00.424',1258.000
'0:00.424',1193.000
'0:00.425',1242.000
'0:00.425',1214.000
'0:00.426',1225.000
'0:00.426',1189.000
'0:00.427',1177.000
'0:00.427',1141.000
'0:00.428',1073.000
'0:00.428',1061.000
'0:00.429',995.000
'0:00.429',999.000
'0:00.430',1041.000
'0:00.430',983.000
'0:00.431',986.000
'0:00.431',947.000
'0:00.432',830.000
'0:00.432',861.000
'0:00.433',779.000
'0:00.433',737.000
'0:00.434',686.000
'0:00.434',605.000
'0:00.435',526.000
'0:00.435',392.000
'0:00.436',307.000
'0:00.436',203.000
'0:00.437',59.000
'0:00.437',-66.000
'0:00.438',-156.000
'0:00.438',-175.000
'0:00.439',-202.000
'0:00.439',-269.000
'0:00.440',-344.000
'0:00.440',-363.000
'0:00.441',-395.000
'0:00.441',-464.000
'0:00.442',-451.000
'0:00.442',-528.000
'0:00.443',-584.000
'0:00.443',-558.000
'0:00.444',-605.000
'0:00.444',-655.000
'0:00.445',-664.000
'0:00.445',-685.000
'0:00.446',-712.000
'0:00.446',-677.000
'0:00.447',-701.000
'0:00.447',-689.000
'0:00.448',-684.000
'0:00.448',-742.000
'0:00.449',-703.000
'0:00.449',-746.000
'0:00.450',-761.000
'0:00.450',-783.000
'0:00.451',-787.000
'0:00.451',-749.000
'0:00.452',-780.000
'0:00.452',-762.000
'0:00.453',-670.000
'0:00.453',-725.000
'0:00.454',-631.000
'0:00.454',-541.000
'0:00.455',-486.000
'0:00.455',-406.000
'0:00.456',-336.000
'0:00.456',-310.000
'0:00.457',-255.000
'0:00.457',-201.000
'0:00.458',-219.000
'0:00.458',-182.000
'0:00.459',-119.000
'0:00.459',-113.000
'0:00.460',-67.000
'0:00.460',-7.000
'0:00.461',-36.000
'0:00.461',22.000
'0:00.462',32.000
'0:00.462',5.000
'0:00.463',65.000
'0:00.463',74.000
'0:00.464',61.000
'0:00.464',167.000
'0:00.465',199.000
'0:00.465',253.000
'0:00.466',289.000
'0:00.466',349.000
'0:00.467',418.000
'0:00.467',476.000
'0:00.468',524.000
'0:00.468',557.000
'0:00.469',542.000
'0:00.469',571.000
'0:00.470',549.000
'0:00.470',510.000
'0:00.471',548.000
'0:00.471',523.000
'0:00.472',426.000
'0:00.472',457.000
'0:00.473',420.000
'0:00.473',381.000
'0:00.474',432.000
'0:00.474',454.000
'0:00.475',451.000
'0:00.475',484.000
'0:00.476',474.000
'0:00.476',424.000
'0:00.477',476.000
'0:00.477',457.000
'0:00.478',498.000
'0:00.478',529.000
'0:00.479',460.000
'0:00.479',430.000
'0:00.480',322.000
'0:00.480',267.000
'0:00.481',220.000
'0:00.481',168.000
'0:00.482',114.000
'0:00.482',76.000
'0:00.483',38.000
'0:00.483',64.000
'0:00.484',8.000
'0:00.484',-8.000
'0:00.485',25.000
'0:00.485',-35.000
'0:00.486',-76.000
'0:00.486',-78.000
'0:00.487',-62.000
'0:00.487',-123.000
'0:00.488',-114.000
'0:00.488',-102.000
'0:00.489',-191.000
'0:00.489',-148.000
'0:00.490',-201.000
'0:00.490',-175.000
'0:00.491',-127.000
'0:00.491',-134.000
'0:00.492',-81.000
'0:00.492',-148.000
'0:00.493',-115.000
'0:00.493',-39.000
'0:00.494',-31.000
'0:00.494',-9.000
'0:00.495',-5.000
'0:00.495',-41.000
'0:00.496',9.000
'0:00.496',-47.000
'0:00.497',17.000
'0:00.497',52.000
'0:00.498',67.000
'0:00.498',85.000
'0:00.499',53.000
'0:00.499',70.000
'0:00.500',119.000
'0:00.500',83.000
'0:00.501',99.000
'0:00.501',28.000
'0:00.502',76.000
'0:00.502',-16.000
'0:00.503',-44.000
'0:00.503',-2.000
'0:00.504',-38.000
'0:00.504',-61.000
'0:00.505',-93.000
'0:00.505',-128.000
'0:00.506',-140.000
'0:00.506',-148.000
'0:00.507',-192.000
'0:00.507',-263.000
'0:00.508',-252.000
'0:00.508',-269.000
'0:00.509',-311.000
'0:00.509',-312.000
'0:00.510',-320.000
'0:00.510',-331.000
'0:00.511',-369.000
'0:00.511',-346.000
'0:00.512',-401.000
'0:00.512',-404.000
'0:00.513',-363.000
'0:00.513',-388.000
'0:00.514',-388.000
'0:00.514',-356.000
'0:00.515',-394.000
'0:00.515',-363.000
'0:00.516',-366.000
'0:00.516',-379.000
'0:00.517',-393.000
'0:00.517',-356.000
'0:00.518',-396.000
'0:00.518',-398.000
'0:00.519',-416.000
'0:00.519',-426.000
'0:00.520',-393.000
'0:00.520',-384.000
'0:00.521',-364.000
'0:00.521',-323.000
'0:00.522',-353.000
'0:00.522',-320.000
'0:00.523',-279.000
'0:00.523',-277.000
'0:00.524',-237.000
'0:00.524',-276.000
'0:00.525',-220.000
'0:00.525',-257.000
'0:00.526',-268.000
'0:00.526',-223.000
'0:00.527',-184.000
'0:00.527',-144.000
'0:00.528',-141.000
'0:00.528',-75.000
'0:00.529',-97.000
'0:00.529',41.000
'0:00.530',120.000
'0:00.530',189.000
'0:00.531',285.000
'0:00.531',290.000
'0:00.532',371.000
'0:00.532',402.000
'0:00.533',449.000
'0:00.533',448.000
'0:00.534',414.000
'0:00.534',463.000
'0:00.535',408.000
'0:00.535',389.000
'0:00.536',325.000
'0:00.536',339.000
'0:00.537',321.000
'0:00.537',266.000
'0:00.538',331.000
'0:00.538',291.000
'0:00.539',263.000
'0:00.539',252.000
'0:00.540',229.000
'0:00.540',256.000
'0:00.541',247.000
'0:00.541',236.000
'0:00.542',207.000
'0:00.542',244.000
'0:00.543',233.000
'0:00.543',217.000
'0:00.544',207.000
'0:00.544',216.000
'0:00.545',262.000
'0:00.545',248.000
'0:00.546',312.000
'0:00.546',304.000
'0:00.547',282.000
'0:00.547',344.000
'0:00.548',349.000
'0:00.548',340.000
'0:00.549',378.000
'0:00.549',395.000
'0:00.550',494.000
'0:00.550',436.000
'0:00.551',492.000
'0:00.551',488.000
'0:00.552',420.000
'0:00.552',408.000
'0:00.553',343.000
'0:00.553',270.000
'0:00.554',224.000
'0:00.554',222.000
'0:00.555',197.000
'0:00.555',160.000
'0:00.556',194.000
'0:00.556',174.000
'0:00.557',222.000
'0:00.557',291.000
'0:00.558',280.000
'0:00.558',302.000
'0:00.559',293.000
'0:00.559',361.000
'0:00.560',304.000
'0:00.560',345.000
'0:00.561',345.000
'0:00.561',299.000
'0:00.562',366.000
'0:00.562',341.000
'0:00.563',307.000
'0:00.563',317.000
'0:00.564',303.000
'0:00.564',249.000
'0:00.565',193.000
'0:00.565',222.000
'0:00.566',87.000
'0:00.566',74.000
'0:00.567',8.000
'0:00.567',-25.000
'0:00.568',25.000
'0:00.568',-33.000
'0:00.569',-31.000
'0:00.569',-57.000
'0:00.570',-34.000
'0:00.570',-32.000
'0:00.571',-78.000
'0:00.571',-72.000
'0:00.572',-110.000
'0:00.572',-145.000
'0:00.573',-99.000
'0:00.573',-209.000
'0:00.574',-157.000
'0:00.574',-199.000
'0:00.575',-146.000
'0:00.575',-299.000
'0:00.576',-294.000
'0:00.576',-380.000
'0:00.577',-528.000
'0:00.577',-603.000
'0:00.578',-657.000
'0:00.578',-650.000
'0:00.579',-575.000
'0:00.579',-561.000
'0:00.580',-581.000
'0:00.580',-589.000
'0:00.581',-582.000
'0:00.581',-599.000
'0:00.582',-545.000
'0:00.582',-531.000
'0:00.583',-452.000
'0:00.583',-298.000
'0:00.584',-320.000
'0:00.584',-253.000
'0:00.585',-261.000
'0:00.585',-219.000
'0:00.586',-244.000
'0:00.586',-225.000
'0:00.587',-158.000
'0:00.587',-153.000
'0:00.588',-114.000
'0:00.588',-91.000
'0:00.589',-96.000
'0:00.589',-103.000
'0:00.590',-164.000
'0:00.590',-191.000
'0:00.591',-222.000
'0:00.591',-277.000
'0:00.592',-306.000
'0:00.592',-321.000
'0:00.593',-254.000
'0:00.593',-323.000
'0:00.594',-291.000
'0:00.594',-272.000
'0:00.595',-379.000
'0:00.595',-415.000
'0:00.596',-448.000
'0:00.596',-336.000
'0:00.597',-286.000
'0:00.597',-194.000
'0:00.598',-191.000
'0:00.598',-258.000
'0:00.599',-173.000
'0:00.599',-162.000
'0:00.600',-116.000
'0:00.600',-72.000
'0:00.601',39.000
'0:00.601',59.000
'0:00.602',95.000
'0:00.602',198.000
'0:00.603',156.000
'0:00.603',202.000
'0:00.604',176.000
'0:00.604',117.000
'0:00.605',165.000
